model,time,acc,precision,recall,f1,f1_macro,tpr,fpr,tn,fp,fn,tp,auc
LogReg,13.4340,0.9272,0.9140,0.9858,0.9486,0.9486,0.9858,0.1977,8986,2214,338,23530,0.9751
RF,4.9767,0.9585,0.9596,0.9803,0.9698,0.9698,0.9803,0.0880,10214,986,470,23398,0.9935
XGB,2.4851,0.9602,0.9634,0.9788,0.9710,0.9710,0.9788,0.0793,10312,888,507,23361,0.9941
LGBM,4.5947,0.9593,0.9667,0.9738,0.9702,0.9702,0.9738,0.0714,10400,800,626,23242,0.9939
MLP,179.1760,0.9416,0.9684,0.9449,0.9565,0.9565,0.9449,0.0656,10465,735,1314,22554,0.9904
MLP-TwoStage(bi),117.4897,0.9417,0.9610,0.9531,0.9570,0.9570,0.9531,0.0825,10276,924,1119,22749,0.9894
MVT-MLP,182.7450,0.9407,0.9703,0.9416,0.9558,0.9558,0.9416,0.0614,10512,688,1393,22475,0.9905
