class,support,tp,precision,recall,f1,fpr
BENIGN,454264,451817,0.9997,0.9946,0.9971,0.0013
Bot,391,324,0.3657,0.8286,0.5074,0.0010
DDoS,25605,25594,0.9992,0.9996,0.9994,0.0000
DoS GoldenEye,2059,2046,0.9706,0.9937,0.9820,0.0001
DoS Hulk,46025,45955,0.9705,0.9985,0.9843,0.0027
DoS Slowhttptest,1100,1092,0.9681,0.9927,0.9803,0.0001
DoS slowloris,1159,1140,0.9845,0.9836,0.9840,0.0000
FTP-Patator,1587,1582,0.9956,0.9968,0.9962,0.0000
Other_Attack,13,9,0.2432,0.6923,0.3600,0.0000
PortScan,31761,31738,0.9924,0.9993,0.9958,0.0005
SSH-Patator,1179,1171,0.9694,0.9932,0.9811,0.0001
Web Attack Brute Force,301,134,0.6321,0.4452,0.5224,0.0001
Web Attack XSS,131,102,0.2982,0.7786,0.4313,0.0004
