class,support,tp,precision,recall,f1,fpr
BENIGN,454264,451931,0.9999,0.9949,0.9974,0.0004
Bot,391,378,0.4163,0.9668,0.5820,0.0009
DDoS,25605,25600,0.9990,0.9998,0.9994,0.0000
DoS GoldenEye,2059,2051,0.9767,0.9961,0.9863,0.0001
DoS Hulk,46025,45993,0.9694,0.9993,0.9841,0.0028
DoS Slowhttptest,1100,1094,0.9656,0.9945,0.9798,0.0001
DoS slowloris,1159,1144,0.9939,0.9871,0.9905,0.0000
FTP-Patator,1587,1586,0.9994,0.9994,0.9994,0.0000
Other_Attack,13,8,0.3478,0.6154,0.4444,0.0000
PortScan,31761,31748,0.9931,0.9996,0.9963,0.0004
SSH-Patator,1179,1174,0.9631,0.9958,0.9791,0.0001
Web Attack Brute Force,301,124,0.8212,0.4120,0.5487,0.0000
Web Attack XSS,131,103,0.3515,0.7863,0.4858,0.0003
