class,support,tp,precision,recall,f1,fpr
BENIGN,454264,450404,0.9997,0.9915,0.9956,0.0014
Bot,391,269,0.4432,0.6880,0.5391,0.0006
DDoS,25605,25594,0.9981,0.9996,0.9988,0.0001
DoS GoldenEye,2059,2049,0.9535,0.9951,0.9739,0.0002
DoS Hulk,46025,45991,0.9611,0.9993,0.9798,0.0036
DoS Slowhttptest,1100,1092,0.8885,0.9927,0.9377,0.0002
DoS slowloris,1159,1139,0.9500,0.9827,0.9661,0.0001
FTP-Patator,1587,1578,0.9962,0.9943,0.9953,0.0000
Other_Attack,13,7,0.0522,0.5385,0.0952,0.0002
PortScan,31761,31743,0.9922,0.9994,0.9958,0.0005
SSH-Patator,1179,1060,0.9507,0.8991,0.9241,0.0001
Web Attack Brute Force,301,158,0.2238,0.5249,0.3138,0.0010
Web Attack XSS,131,86,0.1076,0.6565,0.1849,0.0013
