class,support,tp,precision,recall,f1,fpr
BENIGN,454264,432573,0.9999,0.9523,0.9755,0.0004
Bot,391,388,0.0550,0.9923,0.1042,0.0118
DDoS,25605,25587,0.9953,0.9993,0.9973,0.0002
DoS GoldenEye,2059,2054,0.8282,0.9976,0.9050,0.0008
DoS Hulk,46025,45990,0.8990,0.9992,0.9465,0.0099
DoS Slowhttptest,1100,1092,0.8101,0.9927,0.8922,0.0005
DoS slowloris,1159,1131,0.9218,0.9758,0.9480,0.0002
FTP-Patator,1587,1579,0.9489,0.9950,0.9714,0.0002
Other_Attack,13,8,0.1818,0.6154,0.2807,0.0001
PortScan,31761,31746,0.8252,0.9995,0.9041,0.0126
SSH-Patator,1179,1166,0.7028,0.9890,0.8217,0.0009
Web Attack Brute Force,301,268,0.1256,0.8904,0.2201,0.0033
Web Attack XSS,131,4,0.8000,0.0305,0.0588,0.0000
