class,support,tp,precision,recall,f1,fpr
BENIGN,454264,451618,0.9998,0.9942,0.9970,0.0007
Bot,391,348,0.2962,0.8900,0.4444,0.0015
DDoS,25605,25597,0.9992,0.9997,0.9994,0.0000
DoS GoldenEye,2059,2049,0.9752,0.9951,0.9851,0.0001
DoS Hulk,46025,45991,0.9686,0.9993,0.9837,0.0029
DoS Slowhttptest,1100,1092,0.9724,0.9927,0.9825,0.0001
DoS slowloris,1159,1145,0.9871,0.9879,0.9875,0.0000
FTP-Patator,1587,1583,0.9994,0.9975,0.9984,0.0000
Other_Attack,13,9,0.2368,0.6923,0.3529,0.0001
PortScan,31761,31748,0.9932,0.9996,0.9964,0.0004
SSH-Patator,1179,1172,0.9686,0.9941,0.9812,0.0001
Web Attack Brute Force,301,154,0.7938,0.5116,0.6222,0.0001
Web Attack XSS,131,91,0.3889,0.6947,0.4986,0.0003
