class,support,tp,precision,recall,f1,fpr
BENIGN,454264,453938,0.9994,0.9993,0.9994,0.0022
Bot,391,256,0.9176,0.6547,0.7642,0.0000
DDoS,25605,25591,0.9998,0.9995,0.9996,0.0000
DoS GoldenEye,2059,2045,0.9990,0.9932,0.9961,0.0000
DoS Hulk,46025,45962,0.9979,0.9986,0.9983,0.0002
DoS Slowhttptest,1100,1091,0.9900,0.9918,0.9909,0.0000
DoS slowloris,1159,1145,0.9965,0.9879,0.9922,0.0000
FTP-Patator,1587,1587,1.0000,1.0000,1.0000,0.0000
Other_Attack,13,8,1.0000,0.6154,0.7619,0.0000
PortScan,31761,31750,0.9934,0.9997,0.9965,0.0004
SSH-Patator,1179,1177,1.0000,0.9983,0.9992,0.0000
Web Attack Brute Force,301,276,0.7077,0.9169,0.7988,0.0002
Web Attack XSS,131,12,0.3636,0.0916,0.1463,0.0000
