model,time,accuracy,precision_macro,recall_macro,f1_macro,f1_micro,f1_weighted,auc_ovr_macro
MVT-2Soft,14490.9611,0.9947,0.8138,0.9037,0.8330,0.9947,0.9952,0.9963
MVT-Joint,28123.0245,0.9953,0.8305,0.9036,0.8441,0.9953,0.9956,0.9963
