class,support,tp,precision,recall,f1,fpr
BENIGN,454264,450406,0.9999,0.9915,0.9957,0.0002
Bot,391,390,0.1893,0.9974,0.3182,0.0030
DDoS,25605,25598,0.9985,0.9997,0.9991,0.0001
DoS GoldenEye,2059,2055,0.9603,0.9981,0.9788,0.0002
DoS Hulk,46025,45994,0.9657,0.9993,0.9822,0.0031
DoS Slowhttptest,1100,1093,0.9613,0.9936,0.9772,0.0001
DoS slowloris,1159,1146,0.9837,0.9888,0.9862,0.0000
FTP-Patator,1587,1586,0.9987,0.9994,0.9991,0.0000
Other_Attack,13,9,0.2045,0.6923,0.3158,0.0001
PortScan,31761,31748,0.9930,0.9996,0.9963,0.0004
SSH-Patator,1179,1176,0.8998,0.9975,0.9461,0.0002
Web Attack Brute Force,301,255,0.6728,0.8472,0.7500,0.0002
Web Attack XSS,131,34,0.3908,0.2595,0.3119,0.0001
