model,time,acc,precision,recall,f1,f1_macro,tpr,fpr,tn,fp,fn,tp,auc
LogReg,12.9451,0.9292,0.9161,0.9864,0.9499,0.9499,0.9864,0.1926,9043,2157,325,23543,0.9760
RF,4.8768,0.9579,0.9599,0.9791,0.9694,0.9694,0.9791,0.0872,10223,977,498,23370,0.9935
XGB,2.4685,0.9599,0.9626,0.9791,0.9708,0.9708,0.9791,0.0810,10293,907,498,23370,0.9941
LGBM,4.4936,0.9589,0.9657,0.9741,0.9699,0.9699,0.9741,0.0737,10375,825,617,23251,0.9938
MLP,197.5898,0.9436,0.9698,0.9466,0.9581,0.9581,0.9466,0.0628,10497,703,1274,22594,0.9906
MLP-TwoStage(bi),261.6614,0.9439,0.9713,0.9455,0.9582,0.9582,0.9455,0.0596,10533,667,1300,22568,0.9908
MVT-MLP,198.9007,0.9446,0.9681,0.9499,0.9589,0.9589,0.9499,0.0667,10453,747,1196,22672,0.9906
