model,time,acc,precision,recall,f1,f1_macro,tpr,fpr,tn,fp,fn,tp,auc
LogReg,13.6216,0.9309,0.9191,0.9853,0.9510,0.9510,0.9853,0.1848,9130,2070,352,23516,0.9761
RF,4.9336,0.9605,0.9639,0.9787,0.9712,0.9712,0.9787,0.0782,10324,876,509,23359,0.9941
XGB,2.5184,0.9626,0.9668,0.9787,0.9727,0.9727,0.9787,0.0715,10399,801,509,23359,0.9948
LGBM,4.5634,0.9601,0.9689,0.9727,0.9708,0.9708,0.9727,0.0666,10454,746,652,23216,0.9944
MLP,228.0449,0.9446,0.9729,0.9449,0.9587,0.9587,0.9449,0.0561,10572,628,1315,22553,0.9914
MLP-TwoStage(bi),111.8334,0.9419,0.9628,0.9514,0.9571,0.9571,0.9514,0.0783,10323,877,1160,22708,0.9898
MVT-MLP,192.3200,0.9418,0.9735,0.9400,0.9565,0.9565,0.9400,0.0545,10590,610,1432,22436,0.9912
