class,support,tp,precision,recall,f1,fpr
BENIGN,454264,450783,0.9996,0.9923,0.9960,0.0016
Bot,391,260,0.5628,0.6650,0.6096,0.0004
DDoS,25605,25596,0.9991,0.9996,0.9994,0.0000
DoS GoldenEye,2059,2056,0.9666,0.9985,0.9823,0.0001
DoS Hulk,46025,45978,0.9709,0.9990,0.9848,0.0026
DoS Slowhttptest,1100,1095,0.9547,0.9955,0.9746,0.0001
DoS slowloris,1159,1148,0.9888,0.9905,0.9897,0.0000
FTP-Patator,1587,1582,0.9943,0.9968,0.9956,0.0000
Other_Attack,13,3,0.1200,0.2308,0.1579,0.0000
PortScan,31761,31747,0.9932,0.9996,0.9964,0.0004
SSH-Patator,1179,1170,0.9375,0.9924,0.9642,0.0001
Web Attack Brute Force,301,105,0.2121,0.3488,0.2638,0.0007
Web Attack XSS,131,116,0.0816,0.8855,0.1495,0.0023
