class,support,tp,precision,recall,f1,fpr
BENIGN,454264,449503,0.9996,0.9895,0.9945,0.0016
Bot,391,256,0.4260,0.6547,0.5161,0.0006
DDoS,25605,25226,0.9977,0.9852,0.9914,0.0001
DoS GoldenEye,2059,2057,0.9376,0.9990,0.9673,0.0002
DoS Hulk,46025,45990,0.9516,0.9992,0.9749,0.0045
DoS Slowhttptest,1100,1095,0.8636,0.9955,0.9248,0.0003
DoS slowloris,1159,1137,0.9636,0.9810,0.9722,0.0001
FTP-Patator,1587,1574,0.9603,0.9918,0.9758,0.0001
Other_Attack,13,5,0.0124,0.3846,0.0240,0.0007
PortScan,31761,31738,0.9892,0.9993,0.9942,0.0007
SSH-Patator,1179,1162,0.9432,0.9856,0.9639,0.0001
Web Attack Brute Force,301,41,0.7593,0.1362,0.2310,0.0000
Web Attack XSS,131,122,0.0748,0.9313,0.1386,0.0027
