class,support,tp,precision,recall,f1,fpr
BENIGN,454264,442838,0.9999,0.9748,0.9872,0.0004
Bot,391,386,0.0549,0.9872,0.1040,0.0118
DDoS,25605,25596,0.9986,0.9996,0.9991,0.0001
DoS GoldenEye,2059,2048,0.9539,0.9947,0.9738,0.0002
DoS Hulk,46025,45990,0.9438,0.9992,0.9707,0.0053
DoS Slowhttptest,1100,1095,0.9472,0.9955,0.9707,0.0001
DoS slowloris,1159,1139,0.9913,0.9827,0.9870,0.0000
FTP-Patator,1587,1581,0.9981,0.9962,0.9972,0.0000
Other_Attack,13,7,0.0569,0.5385,0.1029,0.0002
PortScan,31761,31743,0.9929,0.9994,0.9962,0.0004
SSH-Patator,1179,1163,0.9432,0.9864,0.9643,0.0001
Web Attack Brute Force,301,220,0.1587,0.7309,0.2608,0.0021
Web Attack XSS,131,48,0.0865,0.3664,0.1399,0.0009
