class,support,tp,precision,recall,f1,fpr
BENIGN,454264,452477,0.9998,0.9961,0.9979,0.0007
Bot,391,368,0.4842,0.9412,0.6394,0.0007
DDoS,25605,25599,0.9993,0.9998,0.9996,0.0000
DoS GoldenEye,2059,2056,0.9739,0.9985,0.9861,0.0001
DoS Hulk,46025,45964,0.9773,0.9987,0.9879,0.0021
DoS Slowhttptest,1100,1095,0.9673,0.9955,0.9812,0.0001
DoS slowloris,1159,1147,0.9905,0.9896,0.9901,0.0000
FTP-Patator,1587,1583,0.9962,0.9975,0.9969,0.0000
Other_Attack,13,6,0.2500,0.4615,0.3243,0.0000
PortScan,31761,31747,0.9938,0.9996,0.9967,0.0004
SSH-Patator,1179,1164,0.9604,0.9873,0.9737,0.0001
Web Attack Brute Force,301,151,0.8075,0.5017,0.6189,0.0001
Web Attack XSS,131,97,0.3911,0.7405,0.5119,0.0003
