model,time,accuracy,precision_macro,recall_macro,f1_macro,f1_micro,f1_weighted,auc_ovr_macro
MVT-2Soft,17826.7802,0.9956,0.8050,0.8806,0.8214,0.9956,0.9959,0.9958
MVT-Joint,13177.4855,0.9930,0.7524,0.8534,0.7741,0.9930,0.9942,0.9967
