class,support,tp,precision,recall,f1,fpr
BENIGN,454264,451884,0.9998,0.9948,0.9973,0.0010
Bot,391,317,0.3176,0.8107,0.4564,0.0012
DDoS,25605,25595,0.9988,0.9996,0.9992,0.0001
DoS GoldenEye,2059,2053,0.9679,0.9971,0.9823,0.0001
DoS Hulk,46025,45984,0.9724,0.9991,0.9856,0.0025
DoS Slowhttptest,1100,1095,0.9673,0.9955,0.9812,0.0001
DoS slowloris,1159,1141,0.9870,0.9845,0.9857,0.0000
FTP-Patator,1587,1582,0.9981,0.9968,0.9975,0.0000
Other_Attack,13,5,0.0641,0.3846,0.1099,0.0001
PortScan,31761,31730,0.9927,0.9990,0.9959,0.0004
SSH-Patator,1179,1100,0.9306,0.9330,0.9318,0.0001
Web Attack Brute Force,301,44,0.9167,0.1462,0.2521,0.0000
Web Attack XSS,131,130,0.3234,0.9924,0.4878,0.0005
