model,time,accuracy,precision_macro,recall_macro,f1_macro,f1_micro,f1_weighted,auc_ovr_macro
MVT-2Soft,16268.6819,0.9948,0.8028,0.8641,0.7817,0.9948,0.9952,0.9961
MVT-Joint,12463.4860,0.9922,0.7463,0.8799,0.7784,0.9922,0.9934,0.9966
