class,support,tp,precision,recall,f1,fpr
BENIGN,454264,450232,0.9997,0.9911,0.9954,0.0014
Bot,391,262,0.3614,0.6701,0.4695,0.0008
DDoS,25605,25601,0.9988,0.9998,0.9993,0.0001
DoS GoldenEye,2059,2058,0.9563,0.9995,0.9774,0.0002
DoS Hulk,46025,45997,0.9665,0.9994,0.9827,0.0031
DoS Slowhttptest,1100,1095,0.9614,0.9955,0.9781,0.0001
DoS slowloris,1159,1147,0.9914,0.9896,0.9905,0.0000
FTP-Patator,1587,1584,0.9950,0.9981,0.9965,0.0000
Other_Attack,13,6,0.2400,0.4615,0.3158,0.0000
PortScan,31761,31741,0.9926,0.9994,0.9960,0.0004
SSH-Patator,1179,1168,0.9435,0.9907,0.9665,0.0001
Web Attack Brute Force,301,145,0.2057,0.4817,0.2883,0.0010
Web Attack XSS,131,113,0.0903,0.8626,0.1634,0.0020
