class,support,tp,precision,recall,f1,fpr
BENIGN,454264,441332,0.9996,0.9715,0.9854,0.0014
Bot,391,288,0.1986,0.7366,0.3129,0.0021
DDoS,25605,25575,0.9796,0.9988,0.9891,0.0010
DoS GoldenEye,2059,2058,0.9007,0.9995,0.9475,0.0004
DoS Hulk,46025,45993,0.9443,0.9993,0.9710,0.0052
DoS Slowhttptest,1100,1085,0.9714,0.9864,0.9788,0.0001
DoS slowloris,1159,1149,0.9631,0.9914,0.9770,0.0001
FTP-Patator,1587,1577,0.9924,0.9937,0.9931,0.0000
Other_Attack,13,7,0.0329,0.5385,0.0619,0.0004
PortScan,31761,31735,0.8335,0.9992,0.9089,0.0119
SSH-Patator,1179,1156,0.8576,0.9805,0.9149,0.0003
Web Attack Brute Force,301,286,0.1446,0.9502,0.2510,0.0030
Web Attack XSS,131,5,0.2000,0.0382,0.0641,0.0000
