class,support,tp,precision,recall,f1,fpr
BENIGN,454264,433007,0.9999,0.9532,0.9760,0.0005
Bot,391,382,0.0617,0.9770,0.1160,0.0103
DDoS,25605,25577,0.9956,0.9989,0.9973,0.0002
DoS GoldenEye,2059,2058,0.8102,0.9995,0.8950,0.0009
DoS Hulk,46025,45994,0.8871,0.9993,0.9399,0.0113
DoS Slowhttptest,1100,1085,0.7452,0.9864,0.8490,0.0007
DoS slowloris,1159,1145,0.8419,0.9879,0.9091,0.0004
FTP-Patator,1587,1576,0.9734,0.9931,0.9832,0.0001
Other_Attack,13,5,0.0862,0.3846,0.1408,0.0001
PortScan,31761,31742,0.8294,0.9994,0.9065,0.0122
SSH-Patator,1179,1156,0.8347,0.9805,0.9017,0.0004
Web Attack Brute Force,301,44,0.3860,0.1462,0.2120,0.0001
Web Attack XSS,131,129,0.0653,0.9847,0.1225,0.0033
