model,time,acc,precision,recall,f1,f1_macro,tpr,fpr,tn,fp,fn,tp,auc
LogReg,15.8063,0.9272,0.9143,0.9854,0.9485,0.9485,0.9854,0.1969,8995,2205,348,23520,0.9752
RF,4.8914,0.9586,0.9606,0.9793,0.9699,0.9699,0.9793,0.0855,10242,958,493,23375,0.9937
XGB,2.4458,0.9615,0.9649,0.9791,0.9719,0.9719,0.9791,0.0759,10350,850,499,23369,0.9946
LGBM,4.4982,0.9600,0.9672,0.9743,0.9707,0.9707,0.9743,0.0704,10411,789,614,23254,0.9941
MLP,137.6277,0.9429,0.9638,0.9519,0.9578,0.9578,0.9519,0.0762,10346,854,1149,22719,0.9902
MLP-TwoStage(bi),139.9195,0.9432,0.9661,0.9498,0.9579,0.9579,0.9498,0.0711,10404,796,1197,22671,0.9903
MVT-MLP,136.8029,0.9432,0.9661,0.9498,0.9579,0.9579,0.9498,0.0711,10404,796,1197,22671,0.9903
