class,support,tp,precision,recall,f1,fpr
BENIGN,454264,437799,0.9999,0.9638,0.9815,0.0003
Bot,391,388,0.0797,0.9923,0.1476,0.0079
DDoS,25605,25593,0.9960,0.9995,0.9978,0.0002
DoS GoldenEye,2059,2057,0.8281,0.9990,0.9056,0.0008
DoS Hulk,46025,45996,0.9402,0.9994,0.9689,0.0056
DoS Slowhttptest,1100,1086,0.8744,0.9873,0.9274,0.0003
DoS slowloris,1159,1147,0.9671,0.9896,0.9783,0.0001
FTP-Patator,1587,1580,0.9832,0.9956,0.9894,0.0000
Other_Attack,13,8,0.0317,0.6154,0.0604,0.0004
PortScan,31761,31743,0.8327,0.9994,0.9085,0.0119
SSH-Patator,1179,1169,0.8972,0.9915,0.9420,0.0002
Web Attack Brute Force,301,284,0.1606,0.9435,0.2745,0.0026
Web Attack XSS,131,4,0.0138,0.0305,0.0190,0.0005
