class,support,tp,precision,recall,f1,fpr
BENIGN,454264,452016,0.9997,0.9951,0.9974,0.0011
Bot,391,347,0.2789,0.8875,0.4245,0.0016
DDoS,25605,25601,0.9985,0.9998,0.9992,0.0001
DoS GoldenEye,2059,2054,0.9753,0.9976,0.9863,0.0001
DoS Hulk,46025,45954,0.9797,0.9985,0.9890,0.0018
DoS Slowhttptest,1100,1085,0.9801,0.9864,0.9832,0.0000
DoS slowloris,1159,1147,0.9787,0.9896,0.9841,0.0000
FTP-Patator,1587,1580,1.0000,0.9956,0.9978,0.0000
Other_Attack,13,6,0.3750,0.4615,0.4138,0.0000
PortScan,31761,31731,0.9943,0.9991,0.9967,0.0003
SSH-Patator,1179,1167,0.9381,0.9898,0.9633,0.0001
Web Attack Brute Force,301,163,0.6128,0.5415,0.5750,0.0002
Web Attack XSS,131,74,0.2996,0.5649,0.3915,0.0003
