class,support,tp,precision,recall,f1,fpr
BENIGN,454264,450657,0.9996,0.9921,0.9958,0.0016
Bot,391,253,0.4567,0.6471,0.5354,0.0005
DDoS,25605,25596,0.9982,0.9996,0.9989,0.0001
DoS GoldenEye,2059,2052,0.9584,0.9966,0.9771,0.0002
DoS Hulk,46025,45999,0.9615,0.9994,0.9801,0.0035
DoS Slowhttptest,1100,1084,0.8914,0.9855,0.9361,0.0002
DoS slowloris,1159,1147,0.9566,0.9896,0.9729,0.0001
FTP-Patator,1587,1575,0.9975,0.9924,0.9949,0.0000
Other_Attack,13,5,0.3125,0.3846,0.3448,0.0000
PortScan,31761,31732,0.9937,0.9991,0.9964,0.0004
SSH-Patator,1179,1167,0.9343,0.9898,0.9613,0.0001
Web Attack Brute Force,301,168,0.2225,0.5581,0.3182,0.0010
Web Attack XSS,131,63,0.1028,0.4809,0.1694,0.0010
