class,support,tp,precision,recall,f1,fpr
BENIGN,454264,453990,0.9997,0.9994,0.9995,0.0012
Bot,391,297,0.9027,0.7596,0.8250,0.0001
DDoS,25605,25601,1.0000,0.9998,0.9999,0.0000
DoS GoldenEye,2059,2056,0.9966,0.9985,0.9976,0.0000
DoS Hulk,46025,46003,0.9987,0.9995,0.9991,0.0001
DoS Slowhttptest,1100,1087,0.9927,0.9882,0.9904,0.0000
DoS slowloris,1159,1149,0.9914,0.9914,0.9914,0.0000
FTP-Patator,1587,1587,0.9994,1.0000,0.9997,0.0000
Other_Attack,13,9,1.0000,0.6923,0.8182,0.0000
PortScan,31761,31751,0.9944,0.9997,0.9970,0.0003
SSH-Patator,1179,1178,0.9992,0.9992,0.9992,0.0000
Web Attack Brute Force,301,253,0.7188,0.8405,0.7749,0.0002
Web Attack XSS,131,34,0.4359,0.2595,0.3254,0.0001
