class,support,tp,precision,recall,f1,fpr
BENIGN,454264,440460,0.9999,0.9696,0.9845,0.0003
Bot,391,390,0.0678,0.9974,0.1270,0.0095
DDoS,25605,25601,0.9944,0.9998,0.9971,0.0003
DoS GoldenEye,2059,2059,0.8987,1.0000,0.9467,0.0004
DoS Hulk,46025,45998,0.9430,0.9994,0.9704,0.0054
DoS Slowhttptest,1100,1090,0.8576,0.9909,0.9194,0.0003
DoS slowloris,1159,1141,0.9711,0.9845,0.9777,0.0001
FTP-Patator,1587,1581,0.9900,0.9962,0.9931,0.0000
Other_Attack,13,8,0.0696,0.6154,0.1250,0.0002
PortScan,31761,31748,0.9030,0.9996,0.9488,0.0064
SSH-Patator,1179,1169,0.8527,0.9915,0.9169,0.0004
Web Attack Brute Force,301,281,0.1643,0.9336,0.2795,0.0025
Web Attack XSS,131,6,0.0508,0.0458,0.0482,0.0002
