model,time,accuracy,precision_macro,recall_macro,f1_macro,f1_micro,f1_weighted,auc_ovr_macro
MVT-2Soft,17857.4442,0.9957,0.8429,0.9013,0.8235,0.9957,0.9959,0.9980
MVT-Joint,20410.4325,0.9930,0.7557,0.8985,0.7915,0.9930,0.9940,0.9991
