class,support,tp,precision,recall,f1,fpr
BENIGN,454264,452248,0.9998,0.9956,0.9977,0.0009
Bot,391,349,0.3346,0.8926,0.4868,0.0012
DDoS,25605,25599,0.9989,0.9998,0.9994,0.0001
DoS GoldenEye,2059,2054,0.9762,0.9976,0.9868,0.0001
DoS Hulk,46025,45969,0.9791,0.9988,0.9888,0.0019
DoS Slowhttptest,1100,1092,0.9715,0.9927,0.9820,0.0001
DoS slowloris,1159,1144,0.9896,0.9871,0.9883,0.0000
FTP-Patator,1587,1582,0.9987,0.9968,0.9978,0.0000
Other_Attack,13,10,0.4348,0.7692,0.5556,0.0000
PortScan,31761,31745,0.9931,0.9995,0.9963,0.0004
SSH-Patator,1179,1164,0.9463,0.9873,0.9664,0.0001
Web Attack Brute Force,301,46,1.0000,0.1528,0.2651,0.0000
Web Attack XSS,131,124,0.3351,0.9466,0.4950,0.0004
