class,support,tp,precision,recall,f1,fpr
BENIGN,454264,450642,0.9997,0.9920,0.9958,0.0014
Bot,391,268,0.4474,0.6854,0.5414,0.0006
DDoS,25605,25597,0.9982,0.9997,0.9989,0.0001
DoS GoldenEye,2059,2056,0.9541,0.9985,0.9758,0.0002
DoS Hulk,46025,45998,0.9630,0.9994,0.9809,0.0034
DoS Slowhttptest,1100,1092,0.8893,0.9927,0.9381,0.0002
DoS slowloris,1159,1142,0.9719,0.9853,0.9786,0.0001
FTP-Patator,1587,1574,0.9943,0.9918,0.9931,0.0000
Other_Attack,13,9,0.0732,0.6923,0.1324,0.0002
PortScan,31761,31744,0.9919,0.9995,0.9957,0.0005
SSH-Patator,1179,1071,0.9444,0.9084,0.9261,0.0001
Web Attack Brute Force,301,46,0.6765,0.1528,0.2493,0.0000
Web Attack XSS,131,126,0.0969,0.9618,0.1761,0.0021
