class,support,tp,precision,recall,f1,fpr
BENIGN,454264,449642,0.9999,0.9898,0.9949,0.0002
Bot,391,389,0.1433,0.9949,0.2505,0.0041
DDoS,25605,25602,0.9983,0.9999,0.9991,0.0001
DoS GoldenEye,2059,2058,0.9410,0.9995,0.9694,0.0002
DoS Hulk,46025,45997,0.9694,0.9994,0.9842,0.0028
DoS Slowhttptest,1100,1095,0.9538,0.9955,0.9742,0.0001
DoS slowloris,1159,1150,0.9914,0.9922,0.9918,0.0000
FTP-Patator,1587,1585,0.9994,0.9987,0.9991,0.0000
Other_Attack,13,8,0.2286,0.6154,0.3333,0.0000
PortScan,31761,31748,0.9928,0.9996,0.9962,0.0004
SSH-Patator,1179,1170,0.8979,0.9924,0.9428,0.0002
Web Attack Brute Force,301,299,0.4327,0.9934,0.6028,0.0007
Web Attack XSS,131,4,0.5000,0.0305,0.0576,0.0000
