class,support,tp,precision,recall,f1,fpr
BENIGN,454264,453942,0.9995,0.9993,0.9994,0.0022
Bot,391,270,0.9000,0.6905,0.7815,0.0001
DDoS,25605,25594,0.9999,0.9996,0.9997,0.0000
DoS GoldenEye,2059,2050,0.9956,0.9956,0.9956,0.0000
DoS Hulk,46025,45939,0.9983,0.9981,0.9982,0.0002
DoS Slowhttptest,1100,1094,0.9927,0.9945,0.9936,0.0000
DoS slowloris,1159,1151,0.9965,0.9931,0.9948,0.0000
FTP-Patator,1587,1585,1.0000,0.9987,0.9994,0.0000
Other_Attack,13,10,0.9091,0.7692,0.8333,0.0000
PortScan,31761,31748,0.9933,0.9996,0.9965,0.0004
SSH-Patator,1179,1177,1.0000,0.9983,0.9992,0.0000
Web Attack Brute Force,301,280,0.7161,0.9302,0.8092,0.0002
Web Attack XSS,131,13,0.4333,0.0992,0.1615,0.0000
