class,support,tp,precision,recall,f1,fpr
BENIGN,454264,452315,0.9999,0.9957,0.9978,0.0004
Bot,391,377,0.5863,0.9642,0.7292,0.0005
DDoS,25605,25600,0.9993,0.9998,0.9996,0.0000
DoS GoldenEye,2059,2055,0.9818,0.9981,0.9899,0.0001
DoS Hulk,46025,45995,0.9717,0.9993,0.9853,0.0026
DoS Slowhttptest,1100,1091,0.9655,0.9918,0.9785,0.0001
DoS slowloris,1159,1146,0.9939,0.9888,0.9913,0.0000
FTP-Patator,1587,1584,0.9969,0.9981,0.9975,0.0000
Other_Attack,13,9,0.2812,0.6923,0.4000,0.0000
PortScan,31761,31749,0.9928,0.9996,0.9962,0.0004
SSH-Patator,1179,1169,0.9558,0.9915,0.9734,0.0001
Web Attack Brute Force,301,144,0.9000,0.4784,0.6247,0.0000
Web Attack XSS,131,112,0.4324,0.8550,0.5744,0.0003
