class,support,tp,precision,recall,f1,fpr
BENIGN,454264,450669,0.9997,0.9921,0.9959,0.0014
Bot,391,269,0.4638,0.6880,0.5541,0.0006
DDoS,25605,25601,0.9988,0.9998,0.9993,0.0001
DoS GoldenEye,2059,2057,0.9680,0.9990,0.9833,0.0001
DoS Hulk,46025,45998,0.9690,0.9994,0.9840,0.0028
DoS Slowhttptest,1100,1090,0.9587,0.9909,0.9745,0.0001
DoS slowloris,1159,1149,0.9846,0.9914,0.9880,0.0000
FTP-Patator,1587,1584,0.9994,0.9981,0.9987,0.0000
Other_Attack,13,9,0.2571,0.6923,0.3750,0.0000
PortScan,31761,31749,0.9924,0.9996,0.9960,0.0005
SSH-Patator,1179,1170,0.8817,0.9924,0.9338,0.0003
Web Attack Brute Force,301,143,0.2513,0.4751,0.3287,0.0008
Web Attack XSS,131,113,0.0996,0.8626,0.1785,0.0018
